Cocktail,Ingredients,Preparation,Bar/Company,Location
Mango Mojito,"Mango, Soda Water, Ice, White Rum, Mint, Mango, Lime, ","Squeeze the juice from 1½ limes and blend with the mango to give a smooth purée.
Cut the rest of the limes into quarters, and then cut each wedge in half again. Put 2 pieces of lime in a highball glass for each person and add 1 teaspoon of caster sugar and 5-6 mint leaves to each glass. Squish everything together with a muddler or the end of a rolling pin to release all the flavours from the lime and mint.
Divide the mango purée between the glasses and add 30ml white rum and a handful of crushed ice to each one, stirring well to mix everything together. Top up with soda water to serve and garnish with extra mint, if you like.",,
Mojito Extra,"Angostura bitters, Club soda, Dark rum, Lemon juice, Mint, ","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura.",,
Monkey Wrench,"Bitters, Grapefruit juice, Light rum, ",Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.,,
Mother's Milk,"Milk, Butterscotch schnapps, Goldschlager, ","Shake over ice, strain. Serves two.",,
New York Sour,"Cherry, Lemon, Red wine, Sugar, Lemon, Blended whiskey, ","Shake blended whiskey, juice of lemon, and powdered sugar with ice and strain into a whiskey sour glass. Float claret on top. Decorate with the half-slice of lemon and the cherry and serve.",,
Nutty Irishman,"Milk, Frangelico, Baileys irish cream, ",Serve over ice,,
National Aquarium,"Lemon-lime soda, Sour mix, Blue Curacao, Gin, Vodka, Rum, ",Pour all ingredients into a shaker of ice. Shake well. Serve on the rocks.,,
Nuked Hot Chocolate,"Milk, Vanilla extract, Sugar, Cocoa powder, ","Mix with a bit of milk (1 oz or so) in coffee mug. Nuke mug for about 30-50 seconds. Stir until the heated cocoa dissolves. Fill mug with milk. Nuke for 1-2 minutes, depending on wattage and preferences as to burnt mouth parts.",,
Orgasm,"Light cream, Vodka, Triple sec, Amaretto, Creme de Cacao, ","Shake all ingredients with ice, strain into a chilled cocktail glass, and serve.",,
Old Pal,"Dry Vermouth, Campari, Rye whiskey, ","Chill cocktail glass. Add ingredients to a mixing glass, and fill 2/3 full with ice. Stir about 20 seconds. Empty cocktail glass and strain into the glass. Garnish with a twist of lemon peel.",,
Orangeade,"Soda water, Sugar syrup, Orange juice, Lemon juice, ","Place some ice cubes in a large tumbler or highball glass, add lemon juice, orange juice, sugar syrup, and stir well. Top up with cold soda water, serve with a drinking straw.",,
Orange Whip,"Ice, Cream, Vodka, Rum, Orange juice, ",Pour ingredients over ice and stir.,,
Orange Oasis,"Ginger ale, Orange juice, Gin, Cherry brandy, ","Shake brandy, gin, and orange juice with ice and strain into a highball glass over ice cubes. Fill with ginger ale, stir, and serve.",,
Oreo Mudslide,"Oreo cookie, Vanilla ice-cream, Baileys irish cream, Kahlua, Vodka, ","Blend Vodka, Kahlua, Bailey's, ice-cream and the Oreo well in a blender. Pour into a large frosted glass. Garnish with whipped cream and a cherry.",,
Oatmeal Cookie,"Goldschlager, Jagermeister, Butterscotch schnapps, Baileys irish cream, Kahlua, ","Just mix it all together.
It's meant to be a shot, but it works just fine as a proper adult-sized drink over lots of ice.

Tastes like an oatmeal cookie.",,
Orange Push-up,"Sour mix, Orange juice, Grenadine, Spiced rum, ",Combine liquors in a blender. Add a half scoop of ice and blend. Garnish with an orange and cherry flag. So good it will melt in your mouth!!!,,
Orange Rosemary Collins,"Orange Peel, Rosemary, Soda Water, Rosemary Syrup, Lemon Juice, Orange Juice, Gin, ",Add the spirits to the bottom of the glass and top equally with the mixer drinks. Garnish with orange slices inside the glass as well as some rosemary on top.,,
Orange Scented Hot Chocolate,"Nutmeg, Espresso, Orange peel, Chocolate, Milk, ","Combine all ingredients in heavy medium saucepan. Stir over low heat until chocolate melts. Increase heat and bring just to a boil, stirring often. Remove from heat and whisk untily frothy. Return to heat and bring to boil again. Remove from heat, whisk until frothy. Repeat heating and whisking once again. Discard orange peel. (Can be prepared 2 hours ahead. Let stand at room temperature. Before serving, bring just to boil, remove from heat and whisk until frothy.) Pour hot chocolate into coffee mugs. Makes 2 servings.",,
Owen's Grandmother's Revenge,"Ice, Lemonade, Beer, Whiskey, ",Add ingredients and mix in blender.,,
Paradise,"Orange Juice, Apricot Brandy, Gin, ",Shake together over ice. Strain into cocktail glass and serve chilled.,,
Pink Gin,"Gin, Bitters, ","Pour the bitters into a wine glass. Swirl the glass to coat the inside with the bitters, shake out the excess. Pour the gin into the glass. Do not add ice.",,
Pegu Club,"Orange Bitters, Angostura Bitters, Lime Juice, Orange Curacao, Gin, ","Shake, strain, up, cocktail glass",,
Pink Lady,"Egg white, Light cream, Grenadine, Gin, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",,
Pink Moon,"Blackberries, Lime Juice, Elderflower cordial, Coconut Liqueur, Gin, ","Slowly shake in a shaker with ice, strain into a square whiskey glass. Top with fresh ice. Add the blackberries to garnish. Add flowers and a green leaf for a special look!",,
Penicillin,"Islay single malt Scotch, Ginger Syrup, Honey syrup, Lemon Juice, Blended Scotch, ","Shake blended Scotch, lemon juice, honey syrup and ginger syrup with ice. Strain over large ice in chilled rocks glass. Float smoky Scotch on top (be sure to use a smoky Scotch such as an Islay single malt). Garnish with candied ginger.",,
Porto flip,"Egg Yolk, Port, Brandy, ","Shake ingredients together in a mixer with ice. Strain into glass, garnish and serve.",,
Pina Colada,"Pineapple, Coconut milk, Light rum, ","Mix with crushed ice in blender until smooth. Pour into chilled glass, garnish and serve.",,
Pink Penocha,"Cranberry juice, Orange juice, Peach schnapps, Vodka, Everclear, ",mix all ingredients into bowl keep iced stir frequently,,
Pure Passion,"Mint, Peach Bitters, Passion fruit syrup, Lime Juice, Passoa, Rum, ",Mix up all ingredients with a cocktail stirrer and serve with crushed ice with mint and edible flour if available.,,
Popped cherry,"Orange juice, Cranberry juice, Cherry liqueur, Vodka, ",Served over ice in a tall glass with a popped cherry (can add more popped cherries if in the mood)!,,
Poppy Cocktail,"Creme de Cacao, Gin, ","Shake ingredients with ice, strain into a cocktail glass, and serve.",,
Port Wine Flip,"Nutmeg, Egg, Powdered sugar, Light cream, Port, ",Shake all ingredients (except nutmeg) with ice and strain into a whiskey sour glass. Sprinkle nutmeg on top and serve.,,
Planter's Punch,"Pineapple juice, Orange juice, Orgeat syrup, Dark rum, ","Pour all ingredients, except the bitters, into shaker filled with ice. Shake well. Pour into large glass, filled with ice. Add Angostura bitters, ""on top"". Garnish with cocktail cherry and pineapple.",,
Pineapple Paloma,"Pepper, Lime, Pineapple Juice, Fresh Lime Juice, Grapefruit Juice, Tequila, ","Rub the rim of each glass with lime slice and dip into salt.
Add ice, tequila, grapefruit juice, lime juice and top with pineapple soda.
Give it a quick stir.
Garnish with fresh pineapple or lime.",,
Pornstar Martini,"Prosecco, Lime, Passion fruit juice, Passoa, Vodka, ",Straight: Pour all ingredients into mixing glass with ice cubes. Shake well. Strain in chilled martini cocktail glass. Cut passion fruit in half and use as garnish. Pour prosecco into a chilled shot glass and serve alongside the martini.,,
Planter’s Punch,"Angostura Bitters, Sugar Syrup, Grenadine, Pineapple Juice, Orange Juice, Dark Rum, ",Squeeze an orange and strain the juice. Put all the ingredients in a shaker filled with ice and shake for at least 12 seconds. Strain into a highball glass and decorate with a pineapple wedge or fruit of your choice.,,
Port And Starboard,"Green Creme de Menthe, Grenadine, ","Pour carefully into a pousse-cafe glass, so that creme de menthe floats on grenadine. Serve without mixing.",,
Port Wine Cocktail,"Brandy, Port, ","Stir ingredients with ice, strain into a cocktail glass, and serve.",,
Pysch Vitamin Light,"Ice, Pineapple juice, Apple juice, Orange juice, ",Shake with ice.,,
Pink Panty Pulldowns,"Vodka, Pink lemonade, Sprite, ",Shake well,,
Passion Fruit Martini,"Passion fruit juice, Sugar Syrup, Vodka, ",Pour all ingredients into a glass and stir. Garnish with half a passion fruit piece.,,
Pineapple Gingerale Smoothie,"Pineapple, Ginger, ",Throw everything into a blender and liquify.,,
Quentin,"Nutmeg, Light cream, Kahlua, Dark rum, ","In a shaker half-filled with ice cubes, combine the rum, Kahlua, and cream. Shake well. Strain into a cocktail glass and garnish with the nutmeg.",,
Queen Bee,"Sherry, Lime vodka, Coffee brandy, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",,
Quick F**K,"Baileys irish cream, Midori melon liqueur, Kahlua, ","In a shot glass add 1/3 Kahlua first. Then 1/3 Miduri, topping it off with a 1/3 bailey's irish cream",,
Quick-sand,"Orange juice, Black Sambuca, ","Simply add the orange juice, quite a quick pour in order to mix the sambucca with the orange juice. The juice MUST have fruit pulp!",,
Queen Charlotte,"Lemon-lime soda, Grenadine, Red wine, ","Pour red wine and grenadine into a collins glass over ice cubes. Fill with lemon-lime soda, stir, and serve.",,
Queen Elizabeth,"Benedictine, Gin, Dry Vermouth, ","Stir all ingredients with ice, strain into a cocktail glass, and serve.",,
Quaker's Cocktail,"Raspberry syrup, Lemon, Brandy, Light rum, ","Shake all ingredients with ice, strain into a cocktail glass, and serve.",,
Quarter Deck Cocktail,"Lime, Sherry, Light rum, ","Stir all ingredients with ice, strain into a cocktail glass, and serve.",,
Rose,"Powdered sugar, Grenadine, Lemon juice, Apricot brandy, Gin, Dry Vermouth, ","Shake together in a cocktail shaker, then strain into chilled glass. Garnish and serve.",,
Radler,"7-Up, Beer, ","Pour beer into large mug, slowly add the 7-up (or Sprite).",,
Rum Sour,"Maraschino cherry, Orange, Sugar, Lemon juice, Light rum, ","In a shaker half-filled with ice cubes, combine the rum, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry.",,
Rum Punch,"Ice, Orange juice, Fruit punch, Ginger ale, Rum, ",Mix all ingredients in a punch bowl and serve.,,
Rum Toddy,"Water, Lemon peel, Powdered sugar, Rum, ",Dissolve powdered sugar in water in an old-fashioned glass. Add rum and one ice cube and stir. Add the twist of lemon peel and serve.,,
Royal Fizz,"Coca-Cola, Egg, Sweet and sour, Gin, ",Shake all ingredients (except cola) with ice and strain into a chilled collins glass. Fill with cola and serve.,,
Rum Cooler,"Lemon, Lemon-lime soda, Rum, ",Pour the rum and soda into a collins glass almost filled with ice cubes. Stir well and garnish with the lemon wedge.,,
Rum Runner,"Cranberry juice, Pineapple juice, Orange juice, Blackberry brandy, Malibu rum, ",Mix all ingredients in glass & add ice.,,
Rusty Nail,"Lemon peel, Drambuie, Scotch, ",Pour the Scotch and Drambuie into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist.,,
Red Snapper,"Cranberry juice, Amaretto, Crown Royal, ","One shot each, shake n shoot",,
Royal Bitch,"Crown Royal, Frangelico, ",Into a shot glass layer the Crown Royal on top of the Frangelico.,,
Royal Flush,"Cranberry juice, Chambord raspberry liqueur, Peach schnapps, Crown Royal, ",Pour all the ingredients into tumbler over ice. Strain into glass.,,
Rum Cobbler,"Orange, Maraschino cherry, Dark rum, Lemon, Club soda, Sugar, ","In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Add the rum. Stir well. Garnish with the cherry and the orange and lemon slices.",,
Rail Splitter,"Ginger ale, Lemon juice, Sugar syrup, ",Mix sugar syrup with lemon juice in a tall glass. Fill up with ginger ale.,,
Rosemary Blue,"Rosemary, Tonic Water, Blue Curacao, Gin, ","1) Add the Bombay Sapphire, Blue Curacao, rosemary sprig and gently squeezed lemon wedge to a balloon glass. Swirl well to combine.
2) Fill with cubed ice and top with the Fever-Tree Light Tonic Water.
3) Gently fold with a bar spoon to mix.",,
Ramos Gin Fizz,"Soda Water, Vanilla extract, Egg White, Cream, Sugar Syrup, Lemon Juice, Gin, ","Prepare all the ingredients on the counter to be able to work well and quickly, especially the cream and egg white.

Pour all the ingredients into a shaker.

Shake vigorously for 1 minute: cream and egg white must be mixed perfectly, so don't rush.

Now open the shaker and put some ice and shake for 1-2 minutes. It depends on how long you can resist!

Pour into a highball glass, add a splash of soda and garnish to taste.

Ramos Gin Fizz was once drunk as an invigorating drink or even as a breakfast, try it as an aperitif and after dinner and you will discover a little gem now lost.",,
Royal Gin Fizz,"Carbonated water, Egg, Powdered sugar, Lemon, Gin, ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",,
Rum Milk Punch,"Nutmeg, Powdered sugar, Milk, Light rum, ",Shake all ingredients (except nutmeg) with ice and strain into a collins glass. Sprinkle nutmeg on top and serve.,,
Raspberry Julep,"Mint, Raspberry syrup, Bourbon, ","Softly muddle the mint leaves and raspberry syrup in the bottom of the cup. Add crushed ice and Bourbon to the cup and then stir. Top with more ice, garnish with a mint sprig.",,
